state,year,ammunition_regulations,assault_weapons_regulations,background_checks,buyer_regulations,child_access_prevention,concealed_carry_permitting,dealer_regulations,domestic_violence,gun_trafficking,immunity,no_stand_your_ground,possession_regulations,preemption,prohibitions_against_high_risk_gun_owners,lawtotal
Rhode Island,2017,2,0,9,9,4,3,8,0,0,1,1,3,0,3,43
South Carolina,2017,0,0,0,0,0,4,0,0,0,0,0,5,0,3,12
South Dakota,2017,0,0,0,0,0,3,0,1,0,0,0,0,0,1,5
Tennessee,2017,0,0,0,1,0,3,4,7,0,0,0,3,0,4,22
Texas,2017,0,0,0,1,4,4,0,5,0,0,0,3,0,1,18
Utah,2017,0,0,0,0,0,3,0,3,2,0,0,2,0,3,13
Vermont,2017,0,0,0,0,0,0,1,3,0,1,1,0,0,0,6
Virginia,2017,0,0,0,0,0,4,0,1,2,0,1,1,0,4,13
Washington,2017,1,0,11,3,0,5,7,7,0,0,1,4,0,4,43
West Virginia,2017,2,0,0,2,0,3,1,7,0,0,0,0,0,6,21
Wisconsin,2017,0,0,0,1,2,5,0,6,0,1,1,2,0,5,23
Wyoming,2017,0,0,0,0,0,3,0,0,0,1,1,3,0,1,9
